id,btc_to_usd_rate,eth_to_usd_rate,ltc_to_usd_rate,data_date,ts
1,44195.13,2352.8,74.75,2/1/2024,08:50.1
2,42288.58,2281.03,72.81,1/1/2024,08:50.9
3,44972.81,2356.27,72.99,3/1/2024,08:51.0
4,44198.35,2269.48,66.49,5/1/2024,08:51.3
5,43992.79,2241.81,65.69,7/1/2024,08:51.4
6,46120.79,2340.77,67,10/1/2024,08:51.7
7,43954.52,2222.86,64.31,8/1/2024,08:51.8
8,44187.76,2271.72,66.16,6/1/2024,08:51.9
9,46995.09,2332.52,67.8,9/1/2024,08:52.1
10,46678.54,2584.85,70.13,11/1/2024,08:52.1
11,46344.96,2618.37,71.9,12/1/2024,08:52.4
12,42775.1,2522.02,72.96,13/1/2024,08:52.7
13,42839.32,2578.96,72,14/1/2024,08:52.9
14,41680,2468.6,69.76,15/1/2024,08:53.1
15,42481.69,2509.85,69.08,16/1/2024,08:54.3
16,43130.35,2586.46,69.4,17/1/2024,09:07.7
17,41623.94,2489.98,71.23,20/1/2024,09:08.7
18,41290.57,2468.82,68.06,19/1/2024,09:08.8
19,41666.67,2470.51,71.31,21/1/2024,09:09.5
20,42737.68,2528.02,69.44,18/1/2024,09:09.9
21,39524.27,2311.52,67.29,23/1/2024,09:09.9
22,41553.92,2455.09,71.67,22/1/2024,09:10.4
23,39878.28,2241.1,65.47,24/1/2024,09:10.5
24,41814.96,2267.47,67.03,27/1/2024,09:12.1
25,42126.55,2268.12,68.07,28/1/2024,09:12.1
26,39941.66,2217.29,65.44,26/1/2024,09:12.2
27,40079.87,2234.34,66.11,25/1/2024,09:12.2
28,43303.3,2317.63,68.44,30/1/2024,09:12.5
29,42034.57,2256.47,68.36,29/1/2024,09:12.6
30,42937.72,2352.17,67.48,31/1/2024,09:12.9
31,42545.47,2281.55,66.72,1/2/2024,09:40.8
32,43007.82,2295.97,68.81,4/2/2024,09:41.3
33,43080.38,2303.66,67.29,2/2/2024,09:41.4
34,43183.62,2308.06,68.02,3/2/2024,09:41.5
35,42571.91,2288.82,66.91,5/2/2024,09:41.8
36,42658.3,2298.93,67.48,6/2/2024,09:41.8
37,43097.16,2372.09,68.27,7/2/2024,09:42.1
38,45304.83,2419.78,70.54,9/2/2024,09:42.3
39,44335,2424.71,68.61,8/2/2024,09:42.3
40,48321.14,2508.49,71.59,12/2/2024,09:43.9
41,47157.01,2487.87,70.67,10/2/2024,09:43.9
42,49941.95,2661.13,72.91,13/2/2024,09:43.9
43,47767.06,2501.08,70.84,11/2/2024,09:43.9
44,51858.51,2777.37,69.89,15/2/2024,09:45.8
45,49724.55,2641.84,69,14/2/2024,09:45.8
46,51935.23,2825.88,69.84,16/2/2024,10:10.2
47,52162.65,2804.09,70.75,17/2/2024,10:10.2
48,51666.23,2787.12,70,18/2/2024,10:11.5
49,52153.63,2881.91,70.81,19/2/2024,10:11.5
50,51260.29,2969.75,68.76,23/2/2024,10:12.2
51,51851.46,2968.37,68.92,22/2/2024,10:12.2
52,51787.05,2944.94,71.32,20/2/2024,10:12.9
53,50746.98,2921.76,68.78,24/2/2024,10:12.9
54,52277.53,3015.53,69.72,21/2/2024,10:13.0
55,51730.96,3113.37,70.17,26/2/2024,10:13.5
56,57077.08,3244.35,74.04,28/2/2024,10:14.7
57,62520.06,3386.64,74.58,29/2/2024,10:14.7
58,51568.63,2992.41,70.4,25/2/2024,10:14.7
59,54530.32,3178.28,71.98,27/2/2024,10:14.7
60,61179.03,3340.15,79.99,1/3/2024,10:16.8
61,62045.78,3423.77,94.88,3/3/2024,10:39.5
62,68356.7,3632.92,89.06,5/3/2024,10:40.4
